name,film,dob,d_award,age_award_wiki,award_d,age_award,type_award
Louise Fletcher,One Flew Over the Cuckoo's Nest,22-Jul-34,29-Mar-76,"41 years, 251 days",1976,41.69,best_actress
Faye Dunaway,Network,14-Jan-41,28-Mar-77,"36 years, 73 days",1977,36.2,best_actress
Diane Keaton,Annie Hall,5-Jan-46,3-Apr-78,"32 years, 88 days",1978,32.24,best_actress
Jane Fonda,Coming Home,21-Dec-37,9-Apr-79,"41 years, 109 days",1979,41.3,best_actress
Sally Field,Norma Rae,6-Nov-46,14-Apr-80,"33 years, 160 days",1980,33.44,best_actress
Sissy Spacek,Coal Miner's Daughter,25-Dec-49,31-Mar-81,"31 years, 96 days",1981,31.26,best_actress
Katharine Hepburn,On Golden Pond,12-May-07,29-Mar-82,"74 years, 321 days",1982,74.88,best_actress
Meryl Streep,Sophie's Choice,22-Jun-49,11-Apr-83,"33 years, 293 days",1983,33.8,best_actress
Shirley MacLaine,Terms of Endearment,24-Apr-34,9-Apr-84,"49 years, 351 days",1984,49.96,best_actress
Sally Field,Places in the Heart,6-Nov-46,25-Mar-85,"38 years, 139 days",1985,38.38,best_actress
Geraldine Page,The Trip to Bountiful,22-Nov-24,24-Mar-86,"61 years, 122 days",1986,61.33,best_actress
Marlee Matlin,Children of a Lesser God,24-Aug-65,30-Mar-87,"21 years, 218 days",1987,21.6,best_actress
Cher,Moonstruck,20-May-46,11-Apr-88,"41 years, 327 days",1988,41.89,best_actress
Jodie Foster,The Accused,19-Nov-62,27-Mar-89,"26 years, 128 days",1989,26.35,best_actress
Jessica Tandy,Driving Miss Daisy,7-Jun-09,26-Mar-90,"80 years, 292 days",1990,80.8,best_actress
Kathy Bates,Misery,28-Jun-48,25-Mar-91,"42 years, 270 days",1991,42.74,best_actress
Jodie Foster,The Silence of the Lambs,19-Nov-62,30-Mar-92,"29 years, 132 days",1992,29.36,best_actress
Emma Thompson,Howards End,15-Apr-59,29-Mar-93,"33 years, 348 days",1993,33.95,best_actress
Holly Hunter,The Piano,20-Mar-58,21-Mar-94,"36 years, 1 day",1994,36,best_actress
Jessica Lange,Blue Sky,20-Apr-49,27-Mar-95,"45 years, 341 days",1995,45.93,best_actress
Susan Sarandon,Dead Man Walking,4-Oct-46,25-Mar-96,"49 years, 173 days",1996,49.47,best_actress
Frances McDormand,Fargo,23-Jun-57,24-Mar-97,"39 years, 274 days",1997,39.75,best_actress
Helen Hunt,As Good as It Gets,15-Jun-63,23-Mar-98,"34 years, 281 days",1998,34.77,best_actress
Gwyneth Paltrow,Shakespeare in Love,27-Sep-72,21-Mar-99,"26 years, 175 days",1999,26.48,best_actress
Hilary Swank,Boys Don't Cry,30-Jul-74,26-Mar-00,"25 years, 240 days",2000,25.66,best_actress
Julia Roberts,Erin Brockovich,28-Oct-67,25-Mar-01,"33 years, 148 days",2001,33.41,best_actress
Halle Berry,Monster's Ball,14-Aug-66,24-Mar-02,"35 years, 222 days",2002,35.61,best_actress
Nicole Kidman,The Hours,20-Jun-67,23-Mar-03,"35 years, 276 days",2003,35.76,best_actress
